group,type,filterable,filter_desc,section,date,initial_count,coordinates,close_date,moh_name
10000,近期确诊病例,2,卫生部最近公布的确诊病例（4月26日），所属感染群及关联病例未公布。其中，有两起境外输入病例，他们是在本月10日从国外返新的本地公民，一抵新就履行居家通知。本地新增四个新感染群分别是圣诺哥路38号的Proptech私人有限公司（21起）、建德弯5号（24起）、双溪加株6街3号（57起），以及大士景广场133号（四起）。,,,,,,
1000,所属感染群及关联病例未公布,,,,,,,,
134.001,接触者,,,,,,,,
134,Acacia Home收容所,,4月27日，因14起新病例与早前确诊的1起病例，位于海军部街的Acacia Home收容所被列为感染群。,社区,2020-4-27,15,"1.4606938,103.8115215",,Acacia Home (30 Admiralty Street)
133.001,接触者,,,,,,,,
133,发隔离令的职员,,,,,,,,
132,Alaunia Lodge客工宿舍,,4月24日，因早前确诊的41起病例，位于海军部西路的Alaunia Lodge客工宿舍被列为感染群,工业区,2020-4-24,41,"1.4586759,103.8035416",,Alaunia Lodge (Admiralty Road West)
131,心理卫生学院,,4月30日，因3起新病例与早前确诊的1起病例，心理卫生学院（Institute of Mental Health）被列为感染群，成为首个出现感染群的医疗机构。,社区,2020-4-30,4,"1.3810823,103.8856895",,
130.002,接触者,,,,,,,,
130,义顺纳福城,,4月25日，因早前确诊的7起病例，义顺纳福城（Northpoint City）被列为感染群。,社区,2020-4-25,7,"1.4297156,103.8358035",,
129,兀兰E4工业园一号客工宿舍,,4月19日，因早前确诊的12起病例，兀兰E4工业园区的兀兰一号宿舍被列为感染群。,工业区,2020-4-19,12,"1.4501082,103.7945553",,Woodlands Lodge I (50 Woodlands Industrial Park E4)
128.008,接触者,,,,,,,,
128.002,接触者,,,,,,,,
128,樟宜二号宿舍,,4月19日，因1起新病例与早前确诊的20起病例，丹那美拉海岸路的樟宜二号宿舍被列为感染群。,工业区,2020-4-19,21,"1.3169111,104.0127250",,Changi Lodge II (80 Tanah Merah Coast Road)
127,巴耶乌美工业园,,4月19日，因早前确诊的17起病例，巴耶乌美工业园区51号（51 Paya Ubi Industrial Park）被列为感染群。,工业区,2020-4-19,17,"1.3252777,103.8982031",,
126,惹兰百树17号,,4月19日，因1起新病例与早前确诊的6起病例，惹兰百树17号（17 Jalan Besut）被列为感染群。,工业区,2020-4-19,7,"1.3168279,103.7278555",,
125.001,接触者,,,,,,,,
125,胜宝旺船厂,,4月19日，因早前确诊的7起病例，胜科海事子公司胜宝旺船厂（Sembawang Shipyard）被列为感染群。,工业区,2020-4-19,7,"1.3864830,103.8299740",,
124,Homestay客工宿舍,,4月18日，加基武吉的Homestay Lodge客工宿舍被列为感染群。,工业区,2020-4-18,,"1.3380998,103.9099701",,Homestay Lodge (39 Kaki Bukit Avenue 3)
123.005,接触者,,,,,,,,
123.002,接触者,,,,,,,,
123,CDPL大士宿舍,,4月18日，位于大土南15街的CDPL大土宿舍被列为感染群。,工业区,2020-4-18,,"1.2717544,103.6363411",,CDPL Tuas Dormitory (6 Tuas South Street 15)
122.001,接触者,,,,,,,,
122,TTJ公司,,4月18日，TTJ Design & Engineering私人有限公司被列为感染群。,工业区,2020-4-18,,"1.3119367,103.6571075",,
121.02,接触者,,,,,,,,
121.001,接触者,,,,,,,,
